Date,Region,HIV_Rate,AIDS_Rate
2014-01,Крим,5.3,1.7
2014-01,Вінницька,1.7,1.6
2014-01,Волинська,0.9,0.8
2014-01,Дніпропетровська,7.2,4.7
2014-01,Донецька,14.0,4.6
2014-01,Житомирська,2.1,1.2
2014-01,Закарпатська,0.2,0.2
2014-01,Запорізька,1.9,1.7
2014-01,Івано-Франківська,0.5,1.1
2014-01,Київська,3.0,0.0
2014-01,Кіровоградська,3.1,0.8
2014-01,Луганська,3.3,1.2
2014-01,Львівська,1.4,0.4
2014-01,Миколаївська,9.7,5.9
2014-01,Одеська,6.5,3.5
2014-01,Полтавська,2.0,1.2
2014-01,Рівненська,1.4,0.4
2014-01,Сумська,0.9,0.6
2014-01,Тернопільська,0.7,0.3
2014-01,Харківська,1.9,0.8
2014-01,Херсонська,4.6,1.4
2014-01,Хмельницька,1.9,0.9
2014-01,Черкаська,3.4,2.9
2014-01,Чернівецька,1.3,0.1
2014-01,Чернігівська,4.0,1.5
2014-01,Київ,3.9,1.3
2014-02,Крим,3.8,1.5
2014-02,Вінницька,2.2,1.0
2014-02,Волинська,1.5,1.5
2014-02,Дніпропетровська,9.2,5.1
2014-02,Донецька,9.0,7.5
2014-02,Житомирська,1.8,0.8
2014-02,Закарпатська,0.2,0.2
2014-02,Запорізька,4.2,2.1
2014-02,Івано-Франківська,1.3,1.2
2014-02,Київська,2.9,2.1
2014-02,Кіровоградська,3.7,0.9
2014-02,Луганська,3.0,1.0
2014-02,Львівська,1.5,0.6
2014-02,Миколаївська,10.3,2.5
2014-02,Одеська,8.5,5.4
2014-02,Полтавська,3.5,1.6
2014-02,Рівненська,2.5,0.7
2014-02,Сумська,0.8,0.4
2014-02,Тернопільська,1.5,0.3
2014-02,Харківська,1.7,0.7
2014-02,Херсонська,4.5,1.7
2014-02,Хмельницька,1.7,1.7
2014-02,Черкаська,3.7,2.2
2014-02,Чернівецька,1.8,0.7
2014-02,Чернігівська,4.9,1.9
2014-02,Київ,5.0,2.1
2014-03,Крим,6.0,2.8
2014-03,Вінницька,2.1,0.9
2014-03,Волинська,3.0,1.1
2014-03,Дніпропетровська,8.1,4.3
2014-03,Донецька,6.7,3.7
2014-03,Житомирська,2.5,0.9
2014-03,Закарпатська,0.4,0.2
2014-03,Запорізька,2.1,1.2
2014-03,Івано-Франківська,1.4,0.7
2014-03,Київська,4.2,1.4
2014-03,Кіровоградська,2.8,0.6
2014-03,Луганська,2.8,1.1
2014-03,Львівська,1.4,0.4
2014-03,Миколаївська,6.6,0.7
2014-03,Одеська,13.9,7.1
2014-03,Полтавська,2.0,1.3
2014-03,Рівненська,1.8,0.9
2014-03,Сумська,1.1,0.5
2014-03,Тернопільська,0.5,0.5
2014-03,Харківська,1.8,0.8
2014-03,Херсонська,4.6,1.5
2014-03,Хмельницька,2.3,1.6
2014-03,Черкаська,5.9,2.4
2014-03,Чернівецька,1.4,0.4
2014-03,Чернігівська,4.2,2.2
2014-03,Київ,4.4,1.7
2014-04,Вінницька,2.0,0.9
2014-04,Волинська,2.2,0.8
2014-04,Дніпропетровська,9.9,6.2
2014-04,Донецька,8.7,5.9
2014-04,Житомирська,2.4,1.3
2014-04,Закарпатська,1.0,0.6
2014-04,Запорізька,2.8,1.6
2014-04,Івано-Франківська,0.9,0.4
2014-04,Київська,4.8,2.4
2014-04,Кіровоградська,2.7,1.2
2014-04,Луганська,3.2,1.4
2014-04,Львівська,1.5,0.9
2014-04,Миколаївська,10.4,2.5
2014-04,Одеська,10.3,7.9
2014-04,Полтавська,2.8,0.8
2014-04,Рівненська,3.1,0.7
2014-04,Сумська,0.8,0.2
2014-04,Тернопільська,0.9,0.4
2014-04,Харківська,1.3,0.4
2014-04,Херсонська,2.8,0.8
2014-04,Хмельницька,2.6,0.8
